iter	RMSE
0	0.3876818137
1	0.3765838753
2	0.3667664119
3	0.3561635779
4	0.3459304935
5	0.337538776
6	0.329198399
7	0.3204688397
8	0.3122098503
9	0.304622793
10	0.2978914963
11	0.2912352475
12	0.2849156055
13	0.2784408353
14	0.271842629
15	0.2657173258
16	0.2601589849
17	0.2546568469
18	0.2494665327
19	0.2446663113
20	0.2396389638
21	0.2352187525
22	0.230770205
23	0.2260489223
24	0.2219889306
25	0.2181291161
26	0.2146440451
27	0.2113102561
28	0.2077013617
29	0.2039288697
30	0.2004090406
31	0.1974036747
32	0.1943662467
33	0.1913506089
34	0.1885921728
35	0.1862779442
36	0.1837237682
37	0.1810104241
38	0.1788540853
39	0.1767325655
40	0.1747642327
41	0.1728540308
42	0.1708597515
43	0.1688860725
44	0.1668924197
45	0.1652762862
46	0.1636035969
47	0.1619510501
48	0.1604252088
49	0.1589146458
50	0.1574914158
51	0.1561602943
52	0.154812502
53	0.1535508132
54	0.1523178744
55	0.150968321
56	0.1497110625
57	0.1484717455
58	0.1473964325
59	0.1465497387
60	0.1456169232
61	0.1447084791
62	0.1435926256
63	0.1424165627
64	0.1416424451
65	0.1406205871
66	0.1397783366
67	0.1389535699
68	0.1381247476
69	0.1373724849
70	0.136575367
71	0.1357933556
72	0.1350122312
73	0.1343503438
74	0.1336682745
75	0.1330810355
76	0.1325412988
77	0.1320127506
78	0.1314419192
79	0.1307981911
80	0.130217909
81	0.1296489343
82	0.1292650809
83	0.1288151046
84	0.1282436254
85	0.1277421356
86	0.1271781097
87	0.1265685796
88	0.1261368968
89	0.1256934185
90	0.1251651746
91	0.1246712641
92	0.1241666356
93	0.1236513747
94	0.123281812
95	0.1228923668
96	0.1225016038
97	0.1219753172
98	0.1214385322
99	0.1209793517
100	0.1205978544
101	0.1202758344
102	0.1198643653
103	0.1195294223
104	0.119230587
105	0.1188660246
106	0.1185027122
107	0.1181570171
108	0.1178211757
109	0.1174716913
110	0.1172012169
111	0.1169249809
112	0.1166172038
113	0.1163307511
114	0.1160474487
115	0.1158016463
116	0.1154218014
117	0.1151707742
118	0.1149049878
119	0.1146446569
120	0.1143698055
121	0.114175312
122	0.1138980555
123	0.1136360959
124	0.1134436661
125	0.1132001976
126	0.1129741139
127	0.1127784631
128	0.112595469
129	0.112363845
130	0.1120554057
131	0.111774508
132	0.1116056299
133	0.1113544909
134	0.1112376729
135	0.1109862849
136	0.1108543359
137	0.1105814625
138	0.1104802785
139	0.1103035312
140	0.1100863454
141	0.1099405686
142	0.1097984473
143	0.1096376569
144	0.1094195156
145	0.1092467618
146	0.1090068851
147	0.1087424526
148	0.1086499634
149	0.1084837912
150	0.1082756164
151	0.1080976241
152	0.1078695764
153	0.1076935928
154	0.1075088083
155	0.1073379139
156	0.1072366347
157	0.1071021312
158	0.1069641132
159	0.1067783204
160	0.1066864133
161	0.1065241937
162	0.1062842137
163	0.1061734654
164	0.1060576518
165	0.1059320648
166	0.1057965174
167	0.1056399996
168	0.1054212427
169	0.1053152982
170	0.1051700848
171	0.1050615101
172	0.1050091059
173	0.104876823
174	0.1047503297
175	0.1045439407
176	0.1043485742
177	0.1042031553
178	0.1040342471
179	0.1039669136
180	0.1038559522
181	0.1037676472
182	0.1036102815
183	0.1035275965
184	0.1033257732
185	0.1031278705
186	0.1030096832
187	0.1029007566
188	0.1027630859
189	0.1026409155
190	0.1025572728
191	0.1025056205
192	0.1024056881
193	0.1023164309
194	0.1020709476
195	0.1019278207
196	0.1018297148
197	0.1017363349
198	0.1016061058
199	0.1013988013
200	0.1011693576
201	0.1010754451
202	0.100884556
203	0.1007602564
204	0.1006045451
205	0.1005039373
206	0.1004316514
207	0.1003708396
208	0.1002904162
209	0.1001169738
210	0.1000353485
211	0.09989341421
212	0.09984486046
213	0.09973734163
214	0.09957386703
215	0.09945712584
216	0.0993405051
217	0.09925758404
218	0.09917924646
219	0.09903640832
220	0.09892417391
221	0.09871964479
222	0.09854603983
223	0.09839296651
224	0.09827048207
225	0.09815110343
226	0.097983054
227	0.0978323807
228	0.09764773167
229	0.09750085375
230	0.09746109905
231	0.09727806431
232	0.09710460353
233	0.09698563882
234	0.09681322572
235	0.09674588609
236	0.09658365771
237	0.09635187508
238	0.09621847794
239	0.09615307651
240	0.09600072639
241	0.09570383701
242	0.09558876232
243	0.09538693689
244	0.09530241533
245	0.09520312859
246	0.09502206009
247	0.0947703545
248	0.09467664278
249	0.09464300427
250	0.0945578939
251	0.09446483345
252	0.09437133042
253	0.09417770606
254	0.0941455063
255	0.09391828244
256	0.09385115844
257	0.09370180389
258	0.09364101184
259	0.09350663896
260	0.09340327628
261	0.09323888439
262	0.0930741042
263	0.09294702165
264	0.09276561304
265	0.09262320498
266	0.09259104121
267	0.09244968113
268	0.09227900286
269	0.09207386261
270	0.09192233815
271	0.0918242789
272	0.09172755188
273	0.09162463622
274	0.09145634996
275	0.09127334966
276	0.09124343311
277	0.09112457352
278	0.09101865774
279	0.09092555721
280	0.09081076519
281	0.09075100106
282	0.09065239226
283	0.09052694128
284	0.09040221826
285	0.09033141029
286	0.09015344552
287	0.09003765614
288	0.08999292147
289	0.08992358173
290	0.08982662848
291	0.08976450889
292	0.08966284079
293	0.08952842213
294	0.0894733693
295	0.08942896167
296	0.08932967738
297	0.08931397493
298	0.08920907395
299	0.08912208231
300	0.08898405669
301	0.08881849363
302	0.08873178724
303	0.08865653915
304	0.0885316021
305	0.08845727838
306	0.08844803889
307	0.0883834436
308	0.08823097439
309	0.08806458914
310	0.08794238868
311	0.08778434819
312	0.08759081521
313	0.08752270593
314	0.08741751515
315	0.0874023554
316	0.08727837336
317	0.08722410669
318	0.08709522336
319	0.08704292857
320	0.08689376614
321	0.08686941035
322	0.08680972821
323	0.08671135875
324	0.08662324694
325	0.08660925314
326	0.08649558516
327	0.08642262662
328	0.08632130558
329	0.08626174632
330	0.08604743335
331	0.08601782984
332	0.08590946192
333	0.085899071
334	0.08582644599
335	0.08575125064
336	0.08574107991
337	0.08573205905
338	0.08553517396
339	0.08551584172
340	0.08543753549
341	0.08542845301
342	0.08527034165
343	0.08513988901
344	0.08506903832
345	0.08495100692
346	0.08494334208
347	0.08473692078
348	0.08463035972
349	0.08462176975
350	0.08460558163
351	0.08449750744
352	0.08431301437
353	0.08415711836
354	0.08410590406
355	0.08400599458
356	0.08390182872
357	0.08379159315
358	0.0837816022
359	0.08370602082
360	0.08368390939
361	0.08354568824
362	0.08347147675
363	0.08334724244
364	0.08322561974
365	0.08310528135
366	0.08303149584
367	0.08291382446
368	0.08277031908
369	0.08276317843
370	0.08261277927
371	0.08255063919
372	0.08241267406
373	0.08240524678
374	0.08232245318
375	0.08222649445
376	0.08206693538
377	0.08197946522
378	0.08185982098
379	0.081782911
380	0.08171691705
381	0.08163597782
382	0.0816211395
383	0.08147039739
384	0.08140387979
385	0.08128598023
386	0.08121695301
387	0.08110612444
388	0.08103300776
389	0.08093255447
390	0.08084327821
391	0.08077060271
392	0.08069586467
393	0.08062410117
394	0.08054941372
395	0.08048441335
396	0.08036318137
397	0.08029743208
398	0.08020639424
399	0.08019882925
400	0.08008746849
401	0.08001998763
402	0.080001511
403	0.07991738329
404	0.07971541628
405	0.07962461964
406	0.07952720412
407	0.07936980349
408	0.07921905067
409	0.07908286827
410	0.0790763487
411	0.07894830387
412	0.07883520984
413	0.07874543127
414	0.07863010116
415	0.07853498331
416	0.0784132755
417	0.07836961663
418	0.07826125601
419	0.07825461746
420	0.07810203681
421	0.07809432171
422	0.07802612778
423	0.07801991665
424	0.07794652846
425	0.07788822775
426	0.07779455667
427	0.0777110614
428	0.07765680014
429	0.07764676639
430	0.07758838979
431	0.07746385331
432	0.07740566103
433	0.07728512359
434	0.07720399228
435	0.077101702
436	0.07698237286
437	0.07697619795
438	0.07684050324
439	0.07665334932
440	0.07655979968
441	0.07651897682
442	0.07641379334
443	0.07628391146
444	0.07619525832
445	0.07608230707
446	0.07603046228
447	0.07602439012
448	0.07595298127
449	0.07582192703
450	0.07566799724
451	0.07559756976
452	0.075492387
453	0.07540946502
454	0.07531144127
455	0.07519502547
456	0.07514696375
457	0.0750721671
458	0.07501828993
459	0.07500988323
460	0.0750024912
461	0.07499756261
462	0.07490749179
463	0.07489848737
464	0.07478680991
465	0.07472953722
466	0.07467200738
467	0.07454162853
468	0.07446142659
469	0.07445659855
470	0.0743967741
471	0.07439182995
472	0.07428795613
473	0.07422899102
474	0.07414449555
475	0.07408498077
476	0.07404291078
477	0.07398705223
478	0.07394197421
479	0.07386977866
480	0.07382949411
481	0.07376055688
482	0.07365302946
483	0.07353500262
484	0.07346766499
485	0.07338389801
486	0.07334520722
487	0.0732274137
488	0.07322280448
489	0.07319482893
490	0.07318711824
491	0.07309490372
492	0.07300185091
493	0.07299415246
494	0.07296366378
495	0.07291751215
496	0.07279452417
497	0.07269868779
498	0.07260736942
499	0.07256793672
500	0.07256264162
501	0.07250415282
502	0.07239431479
503	0.07234721581
504	0.07225564655
505	0.07219593687
506	0.07212795359
507	0.07205169598
508	0.07200146827
509	0.07191763219
510	0.07181268838
511	0.0717534168
512	0.07165741565
513	0.07159921145
514	0.07153694945
515	0.07145095934
516	0.07137259348
517	0.07125448398
518	0.07119160146
519	0.07108038323
520	0.07103624994
521	0.07102921092
522	0.07096337731
523	0.0708851625
524	0.07078928242
525	0.07075042921
526	0.07074630764
527	0.070699561
528	0.0706196717
529	0.07055798031
530	0.07052249263
531	0.07051632139
532	0.07043293202
533	0.07042512975
534	0.0703873651
535	0.07035505241
536	0.07026849731
537	0.07015813286
538	0.07005807006
539	0.07000877526
540	0.06990457076
541	0.06983035307
542	0.0697931802
543	0.06978949694
544	0.06966210895
545	0.06958479885
546	0.06955464374
547	0.06945010489
548	0.06940400012
549	0.06932653378
550	0.06921916731
551	0.06918746204
552	0.06911614425
553	0.06905989476
554	0.06902155873
555	0.06893697385
556	0.06882056715
557	0.06878255527
558	0.0686647998
559	0.06866037973
560	0.06858239217
561	0.06853141292
562	0.06844538005
563	0.06841190912
564	0.06837384219
565	0.06832767343
566	0.06829351673
567	0.06823419607
568	0.0681762414
569	0.06802476104
570	0.06795181403
571	0.06786371574
572	0.06786047176
573	0.06783129496
574	0.06773843593
575	0.06773359538
576	0.06764604962
577	0.06755704061
578	0.06750285936
579	0.06742698529
580	0.06729952974
581	0.06729555189
582	0.06723415529
583	0.06720382977
584	0.06719405515
585	0.06707794176
586	0.06704138831
587	0.06700722222
588	0.06691593236
589	0.06686436503
590	0.06680982658
591	0.06674617079
592	0.06673558347
593	0.06662573054
594	0.06662235034
595	0.06654394068
596	0.06644760009
597	0.06635188308
598	0.06624754323
599	0.06624281267
600	0.0661168901
601	0.06600822381
602	0.06592547569
603	0.06587825995
604	0.0657840711
605	0.06576534319
606	0.06567458875
607	0.06561830252
608	0.06561510135
609	0.06552123091
610	0.06542183606
611	0.06531924974
612	0.06524354195
613	0.06515794718
614	0.06510701686
615	0.06502642814
616	0.06496076326
617	0.06490680977
618	0.06482794244
619	0.06477302188
620	0.06470377758
621	0.0646883478
622	0.06468446059
623	0.06462642944
624	0.0645998974
625	0.06457658364
626	0.064485691
627	0.06444820331
628	0.06442624859
629	0.06431984897
630	0.06426952559
631	0.06419404397
632	0.06409541273
633	0.06399636254
634	0.06394697463
635	0.06388989601
636	0.06386625537
637	0.06384565401
638	0.06376942412
639	0.06370172282
640	0.06368338376
641	0.0635950149
642	0.06357653806
643	0.06351677775
644	0.06348364536
645	0.06333311104
646	0.0632349975
647	0.06319572632
648	0.06310932915
649	0.06310561254
650	0.06306027954
651	0.06299936116
652	0.06296018411
653	0.06288322937
654	0.06278218375
655	0.06277847361
656	0.06270492385
657	0.06265507246
658	0.06252900335
659	0.06252151009
660	0.06250959247
661	0.06246953511
662	0.06239368618
663	0.0623177528
664	0.06227894467
665	0.06223923211
666	0.06223576835
667	0.06215562515
668	0.06213653106
669	0.06209015607
670	0.06202537722
671	0.06192729646
672	0.0619053568
673	0.0618208308
674	0.06175602018
675	0.06175319855
676	0.06167952202
677	0.06157227968
678	0.06153215504
679	0.06142910267
680	0.06137142076
681	0.06128945326
682	0.06118383304
683	0.06117989642
684	0.06107858821
685	0.06106324139
686	0.06106056997
687	0.06102360928
688	0.06096605727
689	0.06088153348
690	0.06077778772
691	0.06066118659
692	0.06065720911
693	0.06059247925
694	0.06058390636
695	0.06052788406
696	0.06044918136
697	0.06036813813
698	0.06035829506
699	0.06028290195
700	0.06017499726
701	0.06013827011
702	0.06008468495
703	0.0600814815
704	0.06000863822
705	0.05995692743
706	0.05988098679
707	0.05985298174
708	0.05976450554
709	0.05963968147
710	0.05959851987
711	0.0595406377
712	0.05940229731
713	0.05935915899
714	0.05934592248
715	0.0592473472
716	0.05917157811
717	0.05910096856
718	0.05903480572
719	0.05896216638
720	0.058936098
721	0.05891241738
722	0.05878050507
723	0.0586623211
724	0.05861190389
725	0.05856642128
726	0.05852013448
727	0.05846851894
728	0.05839671641
729	0.05838849027
730	0.05831173242
731	0.05828864468
732	0.05823325087
733	0.05821993629
734	0.05817117572
735	0.05814232137
736	0.05809509975
737	0.05805023139
738	0.05796718341
739	0.05790990665
740	0.05778832121
741	0.05771302878
742	0.05769665817
743	0.05758328833
744	0.05752754602
745	0.05752120843
746	0.05747512553
747	0.05740918029
748	0.05733529786
749	0.05728299675
750	0.05725558192
751	0.05723679422
752	0.05715877951
753	0.05710571481
754	0.05707871808
755	0.05698038225
756	0.05691796637
757	0.05691582089
758	0.05685420143
759	0.05681230941
760	0.05677603155
761	0.05675292331
762	0.05669193859
763	0.0566280006
764	0.05662165747
765	0.0565296525
766	0.05640623391
767	0.05632549593
768	0.05629164112
769	0.05618825896
770	0.05616594225
771	0.05608690856
772	0.05605878665
773	0.05602470813
774	0.05601952596
775	0.05598580133
776	0.05589377703
777	0.05584121607
778	0.05583524345
779	0.05579918821
780	0.05576569327
781	0.05571346169
782	0.0556870918
783	0.05557639282
784	0.05553596181
785	0.05548601209
786	0.05538990185
787	0.05535518587
788	0.05528768445
789	0.05523121665
790	0.05521721215
791	0.05517016776
792	0.05506600504
793	0.05499388107
794	0.05492346205
795	0.05484032109
796	0.05476947024
797	0.05468702133
798	0.05461843618
799	0.05460026725
800	0.05453518459
801	0.05441355526
802	0.05437693966
803	0.05433050043
804	0.05428399068
805	0.05422624268
806	0.05418812852
807	0.0541452424
808	0.05411071232
809	0.0540616412
810	0.05400664105
811	0.05394852111
812	0.05393109832
813	0.05384301643
814	0.05372361129
815	0.05367559553
816	0.05363233919
817	0.05362434951
818	0.05356438206
819	0.05351657901
820	0.05345561179
821	0.05339651254
822	0.05335281358
823	0.05328773938
824	0.05323361303
825	0.05318005957
826	0.05317357726
827	0.05313775426
828	0.05305950796
829	0.05301768768
830	0.05297130895
831	0.05293134886
832	0.05288682996
833	0.05282171545
834	0.05276606142
835	0.05272154471
836	0.05263764354
837	0.05258599069
838	0.05255836197
839	0.05251918899
840	0.05243027384
841	0.05237100329
842	0.05233185644
843	0.05229511604
844	0.05223505268
845	0.05217674826
846	0.05216064841
847	0.05211805908
848	0.05205822043
849	0.05199132036
850	0.0519313456
851	0.05187964787
852	0.05183450848
853	0.05178312252
854	0.0517751077
855	0.0516751919
856	0.05164021052
857	0.05159384227
858	0.05153358858
859	0.05148159188
860	0.05143617384
861	0.05139345386
