iter	Passed	Remaining
0	4	4249
1	7	3522
2	9	3233
3	12	3122
4	15	3058
5	20	3317
6	24	3500
7	28	3517
8	32	3540
9	36	3588
10	38	3504
11	41	3424
12	44	3359
13	46	3305
14	50	3317
15	53	3270
16	55	3234
17	58	3195
18	61	3158
19	63	3134
20	68	3188
21	71	3171
22	74	3163
23	77	3137
24	79	3116
25	83	3133
26	86	3109
27	88	3089
28	91	3066
29	94	3051
30	97	3041
31	100	3031
32	102	3014
33	105	2999
34	108	2984
35	111	2978
36	115	2995
37	117	2983
38	120	2967
39	123	2954
40	125	2947
41	128	2933
42	132	2940
43	134	2927
44	137	2915
45	140	2906
46	143	2899
47	145	2895
48	148	2889
49	151	2877
50	154	2866
51	156	2858
52	159	2849
53	162	2852
54	165	2845
55	168	2834
56	170	2828
57	173	2819
58	176	2811
59	179	2812
60	182	2807
61	185	2799
62	187	2792
63	190	2783
64	193	2776
65	196	2779
66	199	2771
67	201	2766
68	204	2757
69	207	2753
70	210	2751
71	214	2759
72	216	2753
73	219	2745
74	222	2738
75	224	2730
76	227	2725
77	230	2722
78	233	2718
79	235	2712
80	238	2704
81	241	2699
82	243	2693
83	247	2693
84	249	2688
85	252	2680
86	254	2674
87	257	2667
88	260	2668
89	263	2666
90	266	2660
91	268	2654
92	271	2647
93	274	2641
94	276	2638
95	279	2633
96	282	2627
97	284	2621
98	287	2615
99	290	2612
100	293	2609
101	295	2604
102	298	2599
103	301	2593
104	303	2587
105	306	2582
106	309	2583
107	312	2581
108	315	2576
109	317	2571
110	320	2565
111	323	2561
112	329	2587
113	332	2582
114	334	2576
115	337	2572
116	340	2571
117	344	2571
118	347	2571
119	350	2571
120	354	2572
121	359	2584
122	361	2578
123	364	2573
124	366	2568
125	369	2562
126	372	2559
127	375	2559
128	378	2554
129	380	2549
130	383	2544
131	386	2542
132	389	2538
133	392	2533
134	394	2528
135	397	2522
136	399	2516
137	402	2512
138	404	2507
139	408	2507
140	410	2503
141	413	2498
142	416	2494
143	418	2490
144	421	2485
145	424	2481
146	426	2476
147	429	2472
148	432	2468
149	434	2464
150	437	2459
151	440	2455
152	442	2450
153	445	2445
154	448	2445
155	451	2441
156	453	2437
157	457	2437
158	460	2433
159	462	2430
160	465	2426
161	468	2422
162	479	2460
163	484	2467
164	491	2486
165	501	2520
166	510	2546
167	516	2555
168	522	2571
169	531	2592
170	543	2636
171	548	2641
172	558	2670
173	563	2677
174	568	2681
175	575	2695
176	581	2702
177	589	2723
178	597	2740
179	609	2778
180	630	2853
181	634	2852
182	640	2858
183	651	2890
184	658	2898
185	663	2904
186	669	2909
187	673	2908
188	677	2906
189	686	2928
190	690	2924
191	694	2924
192	705	2948
193	708	2944
194	711	2937
195	718	2946
196	721	2940
197	724	2934
198	727	2927
199	733	2934
200	736	2929
201	739	2923
202	742	2916
203	749	2924
204	752	2918
205	755	2913
206	758	2906
207	766	2917
208	770	2916
209	773	2910
210	781	2920
211	784	2917
212	787	2911
213	791	2905
214	798	2914
215	801	2908
216	804	2904
217	808	2901
218	815	2909
219	819	2906
220	822	2900
221	826	2895
222	830	2892
223	833	2886
224	836	2880
225	839	2875
226	844	2876
227	847	2870
228	850	2864
229	853	2857
230	856	2850
231	861	2853
232	864	2846
233	867	2839
234	869	2831
235	872	2824
236	877	2826
237	880	2819
238	883	2812
239	885	2805
240	888	2798
241	892	2796
242	895	2790
243	898	2783
244	900	2776
245	903	2768
246	907	2765
247	910	2759
248	912	2753
249	915	2746
250	918	2739
251	920	2732
252	925	2733
253	928	2726
254	930	2719
255	933	2713
256	936	2706
257	942	2709
258	945	2705
259	948	2699
260	950	2692
261	957	2697
262	960	2692
263	963	2686
264	966	2679
265	968	2673
266	973	2672
267	976	2668
268	980	2663
269	983	2659
270	986	2654
271	992	2655
272	994	2648
273	997	2642
274	1000	2636
275	1006	2641
276	1010	2637
277	1014	2634
278	1018	2631
279	1023	2630
280	1025	2624
281	1028	2618
282	1031	2612
283	1033	2606
284	1037	2603
285	1040	2597
286	1043	2591
287	1046	2586
288	1048	2580
289	1051	2575
290	1057	2575
291	1059	2569
292	1064	2567
293	1075	2583
294	1117	2671
295	1132	2693
296	1148	2719
297	1168	2752
298	1194	2799
299	1205	2813
300	1227	2849
301	1245	2878
302	1263	2907
303	1276	2923
304	1306	2977
305	1338	3036
306	1352	3052
307	1362	3060
308	1379	3085
309	1409	3137
310	1425	3157
311	1446	3189
312	1457	3199
313	1472	3217
314	1479	3217
315	1510	3269
316	1516	3268
317	1528	3277
318	1534	3276
319	1538	3270
320	1543	3264
321	1548	3261
322	1553	3256
323	1558	3250
324	1562	3244
325	1568	3242
326	1572	3235
327	1576	3229
328	1582	3227
329	1586	3221
330	1590	3215
331	1594	3208
332	1600	3206
333	1611	3212
334	1618	3213
335	1622	3206
336	1626	3199
337	1632	3196
338	1636	3191
339	1641	3186
340	1649	3187
341	1655	3185
342	1660	3179
343	1668	3181
344	1673	3177
345	1677	3170
346	1684	3170
347	1688	3163
348	1691	3155
349	1698	3154
350	1704	3152
351	1708	3145
352	1716	3146
353	1720	3139
354	1723	3131
355	1728	3127
356	1732	3119
357	1735	3112
358	1738	3104
359	1743	3100
360	1748	3094
361	1751	3086
362	1754	3079
363	1762	3079
364	1765	3072
365	1769	3064
366	1772	3057
367	1778	3054
368	1781	3046
369	1785	3039
370	1788	3032
371	1793	3027
372	1796	3020
373	1800	3013
374	1803	3005
375	1806	2998
376	1812	2994
377	1815	2986
378	1817	2978
379	1820	2970
380	1823	2962
381	1828	2957
382	1830	2949
383	1833	2941
384	1837	2934
385	1840	2927
386	1844	2922
387	1848	2914
388	1850	2907
389	1853	2899
390	1856	2890
391	1861	2886
392	1863	2878
393	1866	2870
394	1869	2862
395	1871	2855
396	1875	2849
397	1878	2841
398	1881	2833
399	1883	2825
400	1886	2818
401	1890	2811
402	1893	2804
403	1896	2797
404	1898	2789
405	1901	2781
406	1904	2774
407	1908	2768
408	1911	2761
409	1913	2753
410	1916	2746
411	1919	2739
412	1923	2734
413	1928	2730
414	1931	2722
415	1933	2714
416	1936	2707
417	1940	2702
418	1944	2696
419	1947	2689
420	1951	2683
421	1955	2678
422	1958	2671
423	1961	2664
424	1964	2657
425	1967	2651
426	1971	2645
427	1974	2638
428	1977	2631
429	1979	2624
430	1982	2617
431	1984	2609
432	1989	2605
433	1992	2597
434	1994	2590
435	1997	2583
436	2000	2576
437	2005	2572
438	2008	2566
439	2010	2559
440	2013	2552
441	2016	2545
442	2018	2538
443	2022	2532
444	2025	2526
445	2028	2519
446	2030	2512
447	2033	2505
448	2036	2499
449	2039	2493
450	2042	2486
451	2045	2479
452	2047	2472
453	2050	2465
454	2054	2460
455	2056	2453
456	2059	2447
457	2062	2440
458	2065	2434
459	2068	2427
460	2071	2422
461	2074	2415
462	2076	2408
463	2079	2402
464	2082	2395
465	2085	2390
466	2088	2383
467	2091	2377
468	2094	2370
469	2096	2364
470	2099	2357
471	2103	2352
472	2105	2346
473	2108	2339
474	2111	2333
475	2113	2326
476	2116	2320
477	2120	2315
478	2122	2309
479	2125	2302
480	2129	2297
481	2132	2291
482	2137	2288
483	2142	2283
484	2145	2278
485	2148	2272
486	2154	2269
487	2157	2263
488	2160	2258
489	2164	2252
490	2169	2249
491	2172	2243
492	2176	2237
493	2179	2232
494	2183	2227
495	2188	2223
496	2191	2218
497	2194	2212
498	2197	2206
499	2204	2204
500	2207	2198
501	2210	2193
502	2213	2187
503	2218	2182
504	2221	2177
505	2223	2171
506	2226	2165
507	2229	2159
508	2234	2155
509	2237	2149
510	2240	2143
511	2242	2137
512	2250	2136
513	2254	2131
514	2257	2125
515	2260	2119
516	2265	2116
517	2269	2111
518	2272	2106
519	2276	2101
520	2280	2097
521	2284	2092
522	2287	2086
523	2291	2081
524	2294	2076
525	2300	2072
526	2303	2067
527	2306	2061
528	2309	2056
529	2314	2052
530	2317	2046
531	2319	2040
532	2322	2034
533	2325	2029
534	2328	2023
535	2332	2019
536	2335	2013
537	2338	2008
538	2341	2002
539	2344	1996
540	2349	1993
541	2352	1988
542	2355	1982
543	2358	1976
544	2362	1971
545	2366	1968
546	2369	1962
547	2372	1956
548	2375	1951
549	2381	1948
550	2384	1943
551	2387	1937
552	2390	1932
553	2393	1926
554	2398	1923
555	2402	1918
556	2405	1913
557	2408	1907
558	2416	1906
559	2421	1902
560	2430	1901
561	2434	1897
562	2437	1891
563	2440	1886
564	2448	1884
565	2451	1879
566	2454	1874
567	2457	1868
568	2464	1866
569	2467	1861
570	2470	1855
571	2473	1850
572	2479	1847
573	2482	1842
574	2485	1837
575	2489	1832
576	2495	1829
577	2497	1823
578	2500	1818
579	2503	1813
580	2509	1810
581	2513	1804
582	2516	1799
583	2518	1794
584	2522	1789
585	2530	1787
586	2532	1782
587	2536	1776
588	2538	1771
589	2545	1768
590	2548	1763
591	2551	1758
592	2554	1753
593	2560	1749
594	2563	1744
595	2566	1739
596	2570	1735
597	2576	1732
598	2579	1727
599	2583	1722
600	2587	1717
601	2591	1713
602	2595	1708
603	2598	1703
604	2602	1699
605	2606	1694
606	2610	1690
